"Age","Athlete","Gold","Date","Date (String)","Country"
"28","Neil Walker","true","2004-08-29","2004-08-29","United States"
"18","Amanda Weir","false","2004-08-29","2004-08-29","United States"
"26","Takashi Yamamoto","false","2004-08-29","2004-08-29","Japan"
"20","Brooke Bennett","true","2000-10-01","2000-10-01","United States"
"25","Beatrice Coada-Caslaru","false","2000-10-01","2000-10-01","Romania"
"28","Josh Davis","false","2000-10-01","2000-10-01","United States"
"25","Tom Dolan","true","2000-10-01","2000-10-01","United States"
"19","Anthony Ervin","true","2000-10-01","2000-10-01","United States"
"23","Domenico Fioravanti","true","2000-10-01","2000-10-01","Italy"
"20","Grant Hackett","true","2000-10-01","2000-10-01","Australia"
"21","Geoff Huegill","false","2000-10-01","2000-10-01","Australia"
"15","Leisel Jones","false","2000-10-01","2000-10-01","Australia"
"18","Klete Keller","false","2000-10-01","2000-10-01","United States"
"24","Jason Lezak","true","2000-10-01","2000-10-01","United States"
"16","Diana Mocanu","true","2000-10-01","2000-10-01","Romania"
"24","Martina Moravcová","false","2000-10-01","2000-10-01","Slovakia"
"20","Ed Moses","true","2000-10-01","2000-10-01","United States"
"18","Diana Munz","true","2000-10-01","2000-10-01","United States"
"21","Mai Nakamura","false","2000-10-01","2000-10-01","Japan"
"22","Todd Pearson","true","2000-10-01","2000-10-01","Australia"
"24","Adam Pine","true","2000-10-01","2000-10-01","Australia"
"27","Claudia Poll","false","2000-10-01","2000-10-01","Costa Rica"
"16","Megan Quann-Jendrick","true","2000-10-01","2000-10-01","United States"
"17","Giaan Rooney","false","2000-10-01","2000-10-01","Australia"
"22","Courtney Shealy","true","2000-10-01","2000-10-01","United States"
"25","Ashley Tappin","true","2000-10-01","2000-10-01","United States"
"22","Stev Theloke","false","2000-10-01","2000-10-01","Germany"
"27","Amy Van Dyken","true","2000-10-01","2000-10-01","United States"
"24","Neil Walker","true","2000-10-01","2000-10-01","United States"
"19","J. R. Celski","false","2010-02-28","2010-02-28","United States"
"25","Charles Hamelin","true","2010-02-28","2010-02-28","Canada"
"23","Lee Ho-Seok","false","2010-02-28","2010-02-28","South Korea"
"17","Park Seung-Hui","false","2010-02-28","2010-02-28","South Korea"
"21","Katherine Reutter","false","2010-02-28","2010-02-28","United States"
"22","Seong Si-Baek","false","2010-02-28","2010-02-28","South Korea"
"19","Marianne St-Gelais","false","2010-02-28","2010-02-28","Canada"
"29","François-Louis Tremblay","true","2010-02-28","2010-02-28","Canada"
"18","Zhou Yang","true","2010-02-28","2010-02-28","China"
"21","Choi Eun-Gyeong","true","2006-02-26","2006-02-26","South Korea"
